EVENTDATE,COUNTRY,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT1,FIGHTER2RECENT2,FIGHTER2RECENT3,FIGHTER2RECENT4,FIGHTER2NUMUFCFIGHTS,FIGHTER2RECENTBONUSES,FIGHTER2WINRECORD,FIGHTER2LOSSRECORD,FIGHTER2LAYOFFTIME,FIGHTER1OUTCOMEFORFIGHT,FIGHTER1WIN
25/02/2012, Japan,5,Frankie Edgar,Frankie Edgar,Orthodox,1981, United States,167,135,172,3.7,0.39,2.7,0.66,2.28,0.31,0.65,0.3,0.1,16.46,0.67,0.08,0.24,0.66,0.19,0.15,KO/TKOWIN,S-DECLOSS,U-DECWIN,U-DECWIN,11,1,14,1,4,Benson Henderson,Benson Henderson,Southpaw,1983, United States,175,170,177,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,0.18,16.13,0.59,0.21,0.2,0.43,0.31,0.26,U-DECWIN,U-DECWIN,U-DECWIN,U-DECLOSS,9,2,16,4,3,U-DECLOSS,WINNER-FIGHTER2
25/02/2012, Japan,3,Chris Cariaso,Chris Cariaso,Southpaw,1981, United States,160,125,162,3.35,0.43,2.23,0.61,1.11,0.39,0.57,0.8,0,13.08,0.66,0.23,0.11,0.57,0.29,0.14,S-DECWIN,S-DECLOSS,U-DECWIN,SUBLOSS,8,0,12,3,3,Takeya Mizugaki,Takeya Mizugaki,Orthodox,1983, Japan,170,135,175,3.37,0.37,3.27,0.57,1.46,0.57,0.7,0.1,0.19,12.27,0.65,0.2,0.15,0.69,0.23,0.08,KO/TKOWIN,U-DECLOSS,S-DECWIN,SUBLOSS,8,0,15,6,5,U-DECWIN,WINNER-FIGHTER1
25/02/2012, Japan,3,Mark Hunt,Mark Hunt,Orthodox,1974, New Zealand,177,265,182,2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2,0.67,11.1,0.85,0.07,0.08,0.79,0.11,0.1,U-DECWIN,KO/TKOWIN,SUBLOSS,SUBLOSS,14,0,7,5,5,Cheick Kongo,Cheick Kongo,Orthodox,1975, France,193,240,208,3.33,0.56,1.28,0.54,2.3,0.56,0.52,0.2,0.37,9.05,0.37,0.38,0.25,0.44,0.27,0.29,U-DECWIN,KO/TKOWIN,U-DECLOSS,KO/TKOWIN,15,0,26,8,4,KO/TKOWIN,WINNER-FIGHTER1
2/03/2012, Australia,3,Aaron Rosa,Aaron Rosa,Orthodox,1983, United States,193,205,195,4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4,0,9.31,0.61,0.39,0,0.61,0.32,0.07,M-DECWIN,KO/TKOLOSS,KO/TKOLOSS,SUBWIN,4,0,18,5,4,James Te Huna,James Te Huna,Orthodox,1981, New Zealand,187,205,190,4.04,0.51,2.99,0.62,2.75,0.37,0.58,0.2,0.5,6,0.57,0.14,0.29,0.69,0.16,0.15,KO/TKOWIN,SUBLOSS,KO/TKOWIN,NA,3,0,13,5,6,KO/TKOLOSS,WINNER-FIGHTER2
2/03/2012, Australia,3,Ian McCall,Ian McCall,Orthodox,1984, United States,165,135,162,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0,0,13.39,0.64,0.2,0.16,0.46,0.3,0.24,U-DECLOSS,SUBLOSS,KO/TKOWIN,NA,3,0,11,1,38,Demetrious Johnson,Demetrious Johnson,Orthodox,1986, United States,160,125,167,3.43,0.54,1.66,0.67,3.35,0.56,0.65,0.5,0.16,17.56,0.56,0.31,0.13,0.45,0.31,0.24,U-DECLOSS,U-DECWIN,U-DECWIN,SUBWIN,6,0,14,1,5,M-DECLOSS,WINNER-FIGHTER2
2/03/2012, Australia,5,Thiago Alves,Thiago Alves,Orthodox,1983, Brazil,175,171,177,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,0.7,11.1,0.77,0.12,0.11,0.52,0.14,0.35,SUBWIN,U-DECLOSS,U-DECWIN,U-DECLOSS,16,0,19,8,4,Martin Kampmann,Martin Kampmann,Orthodox,1982, Denmark,182,170,182,3.22,0.42,3.28,0.62,1.86,0.41,0.78,2,0.49,9.02,0.61,0.22,0.17,0.79,0.18,0.03,S-DECWIN,U-DECLOSS,S-DECLOSS,U-DECWIN,14,1,18,5,4,SUBLOSS,WINNER-FIGHTER2
14/04/2012, Sweden,3,Brad Pickett,Brad Pickett,Orthodox,1978, United Kingdom,167,135,172,3.02,0.31,4.63,0.55,2.47,0.44,0.58,0.4,0.22,11.28,0.74,0.11,0.15,0.69,0.15,0.16,SUBLOSS,U-DECWIN,U-DECLOSS,U-DECWIN,5,2,20,6,5,Damacio Page,Damacio Page,Orthodox,1982, United States,167,135,167,2.05,0.38,2.47,0.51,2.63,0.64,0.23,0.9,0.29,6.25,0.57,0.2,0.23,0.6,0.27,0.13,SUBLOSS,SUBLOSS,SUBWIN,KO/TKOWIN,6,0,19,8,13,SUBWIN,WINNER-FIGHTER1
14/04/2012, Sweden,3,Diego Nunes,Diego Nunes,Orthodox,1982, Brazil,167,145,170,2.72,0.43,2.59,0.58,1.18,0.44,0.65,0.6,0.27,15,0.61,0.26,0.13,0.38,0.31,0.31,U-DECWIN,U-DECLOSS,S-DECWIN,U-DECWIN,8,0,18,5,4,Dennis Siver,Dennis Siver,Orthodox,1979, Russia,170,145,177,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3,0.47,10.41,0.85,0.05,0.1,0.57,0.14,0.3,SUBLOSS,U-DECWIN,U-DECWIN,SUBWIN,13,0,19,7,6,U-DECLOSS,WINNER-FIGHTER2
14/04/2012, Sweden,3,Alessio Sakara,Alessio Sakara,Orthodox,1981, Italy,182,185,182,3.96,0.47,2.8,0.59,2.18,0.78,0.62,0,0.79,5.02,0.44,0.19,0.37,0.81,0.16,0.03,U-DECLOSS,KO/TKOWIN,S-DECWIN,KO/TKOWIN,12,0,19,8,13,Brian Stann,Brian Stann,Orthodox,1980, Japan,185,185,187,3.28,0.42,2.65,0.59,0.12,0.12,0.6,0.3,1.04,7.39,0.53,0.26,0.21,0.56,0.2,0.25,SUBLOSS,KO/TKOWIN,KO/TKOWIN,SUBWIN,14,2,11,4,6,KO/TKOLOSS,WINNER-FIGHTER2
14/04/2012, Sweden,5,Thiago Silva,Thiago Silva,Orthodox,1982, Brazil,187,205,187,3.92,0.5,2.55,0.67,1.03,0.47,0.7,0.7,0.61,8.16,0.58,0.22,0.2,0.56,0.19,0.25,OverturnedLOSS,U-DECLOSS,KO/TKOWIN,KO/TKOLOSS,14,0,17,4,15,Alexander Gustafsson,Alexander Gustafsson,Orthodox,1987, Sweden,195,205,200,4.02,0.4,3.42,0.51,1.54,0.39,0.83,0.4,0.74,11.26,0.77,0.08,0.15,0.69,0.15,0.16,KO/TKOWIN,KO/TKOWIN,SUBWIN,SUBWIN,6,0,13,1,4,U-DECLOSS,WINNER-FIGHTER2
