EVENTDATE,COUNTRYOFEVENT,fighter1 reach advantage,fighter 1 age advantage,fighter1 height advantage,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT12,FIGHTER2RECENT22,FIGHTER2RECENT32,FIGHTER2RECENT42,FIGHTER2NUMUFCFIGHTS2,FIGHTER2RECENTBONUSES2,FIGHTER2WINRECORD2,FIGHTER2LOSSRECORD2,FIGHTER2LAYOFFTIME2,FIGHTER1OUTCOME,FIGHTER1WIN
20/01/2012, USA,18,7,18,3,Christian Morecraft,Christian Morecraft,1,1986, USA,198,260,205,2.82,0.34,2.46,0.46,3.26,0.66,0.5,2.2,0,6.55,0.33,0.06,0.6,0.82,0.09,0.09,8,2,8,0,3,0,8,2,7,Pat Barry,Pat Barry,1,1979, USA,180,235,187,2.72,0.52,3.54,0.59,0,0,0.76,0.2,1.74,5.46,0.88,0.04,0.08,0.51,0.06,0.43,7,8,3,7,7,0,6,4,3,8,0
10/02/2018, Australia,21,17,16,3,Curtis Blaydes,Curtis Blaydes,1,1991, USA,193,265,203,3.55,0.53,1.73,0.57,6.98,0.55,0.33,0,0.15,9.15,0.36,0.17,0.47,0.72,0.13,0.15,1,3,5,1,5,1,8,1,3,Mark Hunt,Mark Hunt,1,1974, New Zealand,177,265,182,2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2,0.67,11.1,0.85,0.07,0.08,0.79,0.11,0.1,1,8,5,1,26,2,13,11,8,3,1
14/11/2015, Australia,26,5,16,3,Antonio Silva,Antonio Silva,1,1979, Brazil,193,264,208,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8,0.89,6.07,0.68,0.22,0.1,0.56,0.2,0.25,1,8,8,6,17,1,19,9,3,Mark Hunt,Mark Hunt,1,1974, New Zealand,177,265,182,2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2,0.67,11.1,0.85,0.07,0.08,0.79,0.11,0.1,8,8,1,6,21,2,10,9,6,8,0
6/12/2013, Australia,26,5,16,5,Antonio Silva,Antonio Silva,1,1979, Brazil,193,264,208,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8,0.89,6.07,0.68,0.22,0.1,0.56,0.2,0.25,8,1,1,8,13,0,18,6,7,Mark Hunt,Mark Hunt,1,1974, New Zealand,177,265,182,2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2,0.67,11.1,0.85,0.07,0.08,0.79,0.11,0.1,8,1,1,3,17,1,9,6,7,6,0
28/05/2011, USA,13,1,16,3,Kendall Grove,Kendall Grove,1,1982, USA,198,185,200,2.31,0.41,2.4,0.54,0.49,0.45,0.56,1.7,0.24,9.28,0.32,0.49,0.19,0.62,0.27,0.11,6,4,8,2,12,1,23,16,5,Tim Boetsch,Tim Boetsch,1,1981, USA,182,185,187,2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8,0.48,9.02,0.63,0.25,0.12,0.57,0.25,0.17,7,3,6,1,6,0,12,4,6,6,0
15/08/2020, USA,21,3,15,5,Stipe Miocic,Stipe Miocic,1,1982, USA,195,240,203,4.9,0.52,3.75,0.55,1.92,0.34,0.7,0,0.53,10.39,0.68,0.12,0.19,0.76,0.12,0.12,1,8,3,1,16,1,19,3,12,Daniel Cormier,Daniel Cormier,1,1979, USA,180,205,182,4.25,0.52,2.92,0.54,1.83,0.44,0.8,0.4,0.16,13.02,0.56,0.25,0.19,0.76,0.13,0.11,8,2,1,1,22,0,22,2,12,3,1
20/06/2020, USA,5,11,15,3,Roosevelt Roberts,Roosevelt Roberts,1,1994, USA,187,155,185,3.03,0.49,2.27,0.52,1.75,0.53,0.58,1.1,0,11.39,0.74,0.07,0.19,0.73,0.15,0.12,2,3,6,3,5,1,10,1,1,Jim Miller,Jim Miller,2,1983, USA,172,150,180,2.73,0.4,2.99,0.59,1.69,0.43,0.46,1.9,0.13,9.54,0.68,0.17,0.15,0.59,0.21,0.2,6,2,2,7,34,2,31,14,4,7,0
12/10/2019, USA,10,3,15,3,Luis Pe0,Luis Pe0,2,1993, Italy,190,155,190,3.26,0.47,2.74,0.5,1.37,0.33,0.45,1.4,0.2,12.28,0.5,0.13,0.36,0.86,0.12,0.02,1,3,5,2,4,1,7,1,4,Matt Frevola,Matt Frevola,1,1990, USA,175,155,180,3.19,0.39,3.47,0.6,3.3,0.4,0.75,1.4,0,8,0.89,0.11,0,0.64,0.19,0.17,3,6,8,0,3,0,7,1,6,5,0
17/08/2019, USA,21,3,15,5,Stipe Miocic,Stipe Miocic,1,1982, USA,195,240,203,4.9,0.52,3.75,0.55,1.92,0.34,0.7,0,0.53,10.39,0.68,0.12,0.19,0.76,0.12,0.12,8,3,1,1,15,0,18,3,13,Daniel Cormier,Daniel Cormier,1,1979, USA,180,205,182,4.25,0.52,2.92,0.54,1.83,0.44,0.8,0.4,0.16,13.02,0.56,0.25,0.19,0.76,0.13,0.11,2,1,1,5,21,2,22,1,9,1,1
13/04/2019, USA,15,5,15,3,Jalin Turner,Jalin Turner,2,1995, USA,190,155,195,6.2,0.47,4.37,0.45,0.71,0.66,0.78,1.8,0.76,6.35,0.89,0.03,0.08,0.77,0.21,0.01,1,8,0,0,2,0,8,4,2,Matt Frevola,Matt Frevola,1,1990, USA,175,155,180,3.19,0.39,3.47,0.6,3.3,0.4,0.75,1.4,0,8,0.89,0.11,0,0.64,0.19,0.17,6,8,0,0,2,0,6,1,5,6,0
