EVENTDATE,COUNTRYOFEVENT,fighter1 reach advantage,fighter 1 age advantage,fighter1 height advantage,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT12,FIGHTER2RECENT22,FIGHTER2RECENT32,FIGHTER2RECENT42,FIGHTER2NUMUFCFIGHTS2,FIGHTER2RECENTBONUSES2,FIGHTER2WINRECORD2,FIGHTER2LOSSRECORD2,FIGHTER2LAYOFFTIME2,FIGHTER1OUTCOME,FIGHTER1WIN
15/01/2017, USA,3,14,5,5,Yair Rodriguez,Yair Rodriguez,1,1992, Mexico,180,145,180,4.33,0.45,3.13,0.57,0.9,0.29,0.63,0.9,0.34,13.17,0.75,0.07,0.18,0.57,0.19,0.24,4,1,3,4,5,3,10,0,5,BJ Penn,BJ Penn,1,1978, USA,175,145,177,2.76,0.48,3.2,0.56,1.19,0.55,0.74,0.5,0.31,13.08,0.61,0.21,0.17,0.78,0.16,0.06,8,6,6,6,28,0,16,10,30,1,1
15/01/2017, USA,0,0,5,3,Jocelyn Jones-Lybarger,Jocelyn Jones-Lybarger,1,1985, USA,170,115,162,2.96,0.31,4.83,0.56,0.34,0.25,0.81,0,0,14.33,0.9,0.08,0.02,0.7,0.13,0.17,6,6,0,0,2,0,6,3,7,Ni0 Ansaroff,Ni0 Ansaroff,1,1985, USA,165,115,162,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,0,14.47,0.85,0.1,0.06,0.57,0.16,0.27,6,6,0,0,2,0,6,5,12,7,0
17/12/2016, USA,7,-4,5,3,Mickey Gall,Mickey Gall,3,1992, USA,187,170,187,2.55,0.46,3.65,0.42,1.15,0.26,0.4,2.1,0.6,7.09,0.37,0.25,0.38,0.87,0.05,0.08,2,2,0,0,2,0,3,0,3,Sage Northcutt,Sage Northcutt,1,1996, USA,182,155,180,3.58,0.52,1.96,0.58,1.81,0.34,0.41,0.6,0.4,9.2,0.61,0.19,0.2,0.65,0.19,0.16,3,7,2,1,4,0,8,1,5,2,1
17/12/2016, USA,5,-10,5,3,Alan Jouban,Alan Jouban,2,1981, USA,182,170,185,4.85,0.5,3.34,0.61,0.59,0.5,0.62,0,1.55,7.55,0.78,0.14,0.07,0.58,0.2,0.22,3,1,8,3,7,2,14,4,5,Mike Perry,Mike Perry,1,1991, USA,177,170,180,4.36,0.48,4.41,0.56,0.66,0.46,0.76,0,0.87,10.57,0.74,0.15,0.1,0.65,0.15,0.2,1,1,0,0,2,0,9,0,2,3,1
10/12/2016, Ca0da,7,-12,5,3,Tim Kennedy,Tim Kennedy,1,1979, USA,180,185,187,2.78,0.47,1.84,0.62,2.58,0.35,0.7,0.7,0.22,11.34,0.6,0.25,0.16,0.5,0.24,0.27,8,3,1,3,13,0,18,5,27,Kelvin Gastelum,Kelvin Gastelum,2,1991, USA,175,185,180,3.72,0.43,3,0.59,0.87,0.37,0.63,0.1,0.82,11.47,0.78,0.11,0.1,0.7,0.18,0.12,3,5,1,5,9,1,13,1,5,8,0
3/12/2016, USA,7,-1,5,3,Jorge Masvidal,Jorge Masvidal,1,1984, USA,180,156,187,4.2,0.47,3,0.65,1.57,0.59,0.77,0.4,0.43,12.58,0.7,0.17,0.13,0.62,0.24,0.14,3,5,5,1,17,1,30,11,5,Jake Ellenberger,Jake Ellenberger,1,1985, USA,175,170,180,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4,0.98,8.03,0.62,0.2,0.18,0.74,0.17,0.09,1,6,8,2,17,2,31,11,5,1,1
3/12/2016, USA,2,1,5,3,Dong Hyun Ma,Dong Hyun Ma,1,1988,South Korea,180,170,177,2.84,0.41,4.1,0.54,1.27,0.53,0.33,0,0.3,11.05,0.37,0.2,0.44,0.77,0.1,0.13,8,8,0,0,2,1,13,8,6,Brendan OReilly,Brendan OReilly,1,1987, Australia,175,170,175,1.9,0.47,2.77,0.39,2.22,0.43,0.36,0.6,0,11.49,0.36,0.58,0.07,0.54,0.32,0.13,8,3,6,0,3,0,6,2,9,3,1
3/12/2016, USA,-5,9,5,3,Ion Cutelaba,Ion Cutelaba,2,1993, Moldova,185,205,190,5.29,0.39,3.26,0.48,2.59,0.71,0.8,0,0.27,9.08,0.56,0.32,0.11,0.7,0.23,0.07,3,7,0,0,2,0,12,2,2,Jared Cannonier,Jared Cannonier,3,1984, USA,180,205,195,3.72,0.51,2.82,0.66,0.18,0.33,0.51,0,0.59,8.28,0.69,0.18,0.12,0.75,0.1,0.15,1,8,0,0,2,1,8,1,8,6,0
26/11/2016, Australia,13,9,5,3,Chris Camozzi,Chris Camozzi,1,1986, USA,187,185,190,3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5,0.07,11.48,0.82,0.16,0.02,0.59,0.16,0.25,7,3,1,3,17,1,24,11,3,Daniel Kelly,Daniel Kelly,2,1977, Australia,182,185,177,3.62,0.38,4.64,0.61,1.86,0.34,0.78,0.3,0,9.4,0.69,0.15,0.16,0.87,0.06,0.07,1,3,8,3,5,0,11,1,8,6,0
19/11/2016, United Kingdom,2,6,5,3,Stevie Ray,Stevie Ray,2,1990, United Kingdom,177,155,177,3.73,0.44,2.93,0.54,0.75,0.46,0.55,0.6,0.14,10.32,0.74,0.09,0.17,0.61,0.13,0.27,6,3,1,1,4,1,19,6,2,Ross Pearson,Ross Pearson,1,1984, United Kingdom,172,155,175,3.68,0.4,4.09,0.62,0.74,0.35,0.75,0,0.3,11.39,0.82,0.15,0.02,0.53,0.28,0.19,6,6,4,6,21,1,19,12,4,4,1
19/11/2016, United Kingdom,-10,-5,5,3,Artem Lobov,Artem Lobov,2,1986, Russia,175,145,165,3.52,0.41,4.82,0.5,0.39,0.25,0.52,0,0,16.26,0.94,0.04,0.01,0.5,0.18,0.32,3,6,6,0,3,0,12,12,3,Teruto Ishihara,Teruto Ishihara,2,1991, Japan,170,146,175,3.26,0.44,3.63,0.53,0.5,0.16,0.3,0,1.33,10.04,0.8,0.08,0.12,0.57,0.18,0.26,1,1,5,0,3,1,9,2,3,3,1
12/11/2016, USA,13,7,5,3,Chris Weidman,Chris Weidman,1,1984, USA,187,185,198,3.03,0.43,3.15,0.52,3.93,0.47,0.65,0.9,0.31,10.32,0.63,0.11,0.26,0.75,0.15,0.1,8,1,3,1,10,2,13,1,11,Yoel Romero,Yoel Romero,2,1977, Cuba,182,185,185,3.44,0.49,3.05,0.6,1.57,0.3,0.78,0,0.89,13.46,0.67,0.14,0.2,0.57,0.2,0.23,4,1,1,3,8,1,11,1,11,8,0
5/11/2016, Mexico,7,7,5,3,Charles Oliveira,Charles Oliveira,1,1989, Brazil,177,145,187,3.27,0.51,3.08,0.54,2.61,0.42,0.57,2.8,0.28,6.42,0.58,0.23,0.19,0.55,0.28,0.17,7,2,8,2,16,1,21,6,3,Ricardo Lamas,Ricardo Lamas,1,1982, USA,172,145,180,3.13,0.47,2.87,0.57,1.84,0.33,0.46,0.9,0.21,10.21,0.63,0.2,0.16,0.49,0.21,0.3,6,3,8,2,16,0,16,5,5,7,0
8/10/2016, United Kingdom,3,3,5,3,Ovince Saint Preux,Ovince Saint Preux,2,1983, USA,190,205,203,2.64,0.46,2.88,0.45,1.23,0.4,0.66,0.6,0.24,9.15,0.74,0.12,0.14,0.68,0.22,0.1,6,3,7,1,17,2,19,8,6,Jimi Manuwa,Jimi Manuwa,1,1980, USA,185,205,200,3.43,0.54,3.97,0.49,0.53,0.18,0.7,0.4,0.54,7.36,0.62,0.36,0.02,0.41,0.28,0.31,8,3,8,1,6,0,15,2,13,8,0
24/09/2016, Brazil,0,6,5,3,Paul Felder,Paul Felder,1,1984, USA,180,155,177,3.67,0.43,3.4,0.49,0.25,0.25,0.61,0.2,0.32,11.46,0.65,0.17,0.18,0.56,0.2,0.24,3,2,5,6,6,2,12,2,4,Francisco Tri0ldo,Francisco Tri0ldo,2,1978, Brazil,175,155,177,3.11,0.44,2.56,0.6,1.09,0.46,0.61,0.6,0.29,11.26,0.65,0.19,0.16,0.61,0.27,0.12,3,3,1,3,13,1,20,4,4,8,0
10/09/2016, USA,-2,-10,5,3,Urijah Faber,Urijah Faber,1,1979, USA,167,145,170,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8,0.38,12.24,0.6,0.14,0.26,0.73,0.2,0.07,6,3,6,2,26,0,33,9,3,Jimmie Rivera,Jimmie Rivera,1,1989, USA,162,135,172,3.99,0.41,3.61,0.61,0.86,0.29,0.92,0.1,0.42,11.54,0.88,0.1,0.02,0.53,0.22,0.25,3,4,1,0,3,1,19,1,8,6,0
27/08/2016, Ca0da,-3,-5,5,3,Bec Rawlings,Bec Rawlings,1,1989, Australia,167,125,162,4.48,0.42,5.66,0.57,0.71,0.4,0.68,0.4,0,12.04,0.78,0.17,0.05,0.7,0.18,0.13,3,2,6,0,3,0,7,4,5,Paige VanZant,Paige VanZant,1,1994, USA,162,155,165,3.35,0.52,2.62,0.42,1.27,0.33,0.34,1,0.16,11.29,0.34,0.33,0.33,0.63,0.25,0.12,7,2,3,1,4,1,6,2,8,8,0
30/07/2016, USA,3,7,5,3,Rose 0maju0s,Rose 0maju0s,1,1992, USA,165,115,165,4.13,0.4,3.98,0.6,1.91,0.53,0.5,0.8,0.41,12.16,0.74,0.09,0.17,0.79,0.15,0.06,3,2,2,7,4,1,6,2,3,Karoli0 Kowalkiewicz,Karoli0 Kowalkiewicz,1,1985, Poland,160,115,162,5.27,0.39,5.65,0.56,0.1,0.12,0.75,0.1,0,13.3,0.7,0.26,0.04,0.63,0.25,0.12,3,3,0,0,2,0,9,0,2,5,0
30/07/2016, USA,0,0,5,5,Robbie Lawler,Robbie Lawler,2,1982, USA,180,170,187,3.5,0.45,4.16,0.6,0.68,0.64,0.64,0,0.48,13.26,0.67,0.22,0.1,0.77,0.2,0.04,4,1,4,3,28,2,27,10,6,Tyron Woodley,Tyron Woodley,1,1982, USA,175,170,187,2.33,0.48,2.72,0.55,1.08,0.4,0.87,0.4,0.77,13.55,0.49,0.26,0.25,0.58,0.32,0.11,4,1,6,1,16,1,15,2,18,8,0
13/07/2016, USA,16,-5,5,3,Aleksei Oleinik,Aleksei Oleinik,1,1977, Russia,187,240,203,3.5,0.5,3.52,0.44,2.43,0.48,0.33,2.4,0.4,6.14,0.62,0.29,0.09,0.68,0.24,0.08,1,2,0,0,2,1,53,9,20,Daniel Omielanczuk,Daniel Omielanczuk,2,1982, Poland,182,247,187,3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1,0.28,11.55,0.59,0.32,0.09,0.51,0.28,0.21,3,1,6,6,5,0,18,5,5,6,0
18/06/2016, Ca0da,-2,0,5,3,Jason Saggo,Jason Saggo,1,1985, Ca0da,180,155,180,2.5,0.39,2.94,0.52,2.33,0.4,0.23,0,0.23,10.44,0.63,0.04,0.33,0.56,0.16,0.29,1,5,1,0,3,0,11,2,3,Leandro Silva,Leandro Silva,1,1985, Brazil,175,155,182,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,0,12.45,0.86,0.12,0.02,0.5,0.26,0.24,3,3,5,2,6,1,20,4,7,4,1
4/06/2016, USA,2,6,5,3,Dominick Cruz,Dominick Cruz,1,1985,USA,172,135,172,3.52,0.32,2.28,0.73,3.05,0.48,0.83,0.1,0.06,17.04,0.82,0.09,0.09,0.68,0.18,0.14,4,1,3,3,12,2,21,1,5,Urijah Faber,Urijah Faber,1,1979, USA,167,145,170,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8,0.38,12.24,0.6,0.14,0.26,0.73,0.2,0.07,3,6,2,2,25,0,33,8,6,3,1
29/05/2016, USA,0,-1,5,3,Shane Campbell,Shane Campbell,1,1987, Ca0da,182,155,180,3.99,0.59,3.19,0.55,1.36,0.28,0.82,0,0,8.5,0.75,0.1,0.15,0.38,0.27,0.35,6,3,8,0,3,0,14,4,3,Erik Koch,Erik Koch,2,1988, USA,177,155,180,2.33,0.42,2.82,0.47,1.02,0.42,0.81,1,0.38,9.02,0.57,0.23,0.2,0.69,0.19,0.12,8,1,6,8,10,0,14,4,24,7,0
14/05/2016, Brazil,7,8,5,3,Corey Anderson,Corey Anderson,1,1989, USA,190,205,200,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0,0.09,10.51,0.59,0.16,0.25,0.78,0.15,0.08,3,3,3,8,6,1,9,1,2,Mauricio Rua,Mauricio Rua,1,1981, Brazil,185,205,193,3.63,0.5,2.7,0.54,2.17,0.48,0.47,0.8,1.01,10.54,0.66,0.17,0.17,0.62,0.15,0.22,3,8,8,1,33,1,23,9,9,5,0
14/05/2016, Brazil,6,5,5,3,Thiago Santos,Thiago Santos,1,1984, Brazil,187,185,193,4.44,0.47,2.19,0.57,0.83,0.4,0.68,0.1,1.25,7.36,0.5,0.19,0.3,0.55,0.21,0.23,3,1,1,6,6,1,12,3,5,0te Marquardt,0te Marquardt,1,1979, USA,182,185,187,2.71,0.49,2.32,0.55,1.87,0.51,0.7,0.8,0.75,9.34,0.62,0.17,0.21,0.59,0.2,0.22,1,8,6,2,22,1,34,15,5,1,1
8/05/2016, Netherlands,-8,1,5,3,Chris Wade,Chris Wade,1,1987, USA,177,155,177,1.7,0.53,1.75,0.51,2.6,0.51,0.55,1.1,0.19,11.32,0.54,0.27,0.19,0.48,0.21,0.31,2,3,3,2,4,0,11,1,4,Rustam Khabilov,Rustam Khabilov,1,1986, Russia,172,155,185,1.98,0.34,2.16,0.65,3.95,0.41,0.61,0.1,0.1,13,0.66,0.09,0.25,0.75,0.14,0.11,3,5,7,3,6,0,18,3,3,6,0
16/04/2016, USA,3,0,5,5,Glover Teixeira,Glover Teixeira,1,1979, Brazil,187,205,193,3.74,0.47,3.87,0.55,1.87,0.38,0.6,0.9,0.45,9.06,0.5,0.11,0.39,0.86,0.12,0.02,1,2,6,6,13,1,24,4,5,Rashad Evans,Rashad Evans,1,1979, USA,182,205,190,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0,0.21,12.33,0.58,0.19,0.23,0.79,0.14,0.07,6,1,4,6,22,0,19,4,6,1,1
5/03/2016, USA,8,-5,5,3,Holly Holm,Holly Holm,2,1981, USA,172,135,175,2.75,0.35,2.8,0.57,0.5,0.27,0.76,0.1,0.17,16.21,0.82,0.13,0.05,0.47,0.28,0.26,1,3,4,0,3,1,10,0,4,Miesha Tate,Miesha Tate,1,1986, USA,167,135,167,1.93,0.41,2.71,0.5,2.06,0.31,0.52,1.6,0.12,13.58,0.57,0.21,0.22,0.68,0.24,0.08,3,3,3,3,14,0,17,5,8,7,0
5/03/2016, USA,2,-2,5,3,Diego Sanchez,Diego Sanchez,2,1981, USA,177,170,182,2.69,0.37,3.02,0.56,1.51,0.24,0.46,0.8,0.24,12.2,0.57,0.11,0.32,0.7,0.24,0.07,6,4,6,6,25,0,26,8,4,Jim Miller,Jim Miller,2,1983, USA,172,150,180,2.73,0.4,2.99,0.59,1.69,0.43,0.46,1.9,0.13,9.54,0.68,0.17,0.15,0.59,0.21,0.2,7,4,6,8,21,1,25,7,3,3,1
27/02/2016, United Kingdom,5,3,5,3,Francisco Rivera,Francisco Rivera,1,1981, USA,172,135,177,4.07,0.41,3.16,0.68,1.01,0.63,0.68,0.6,0.72,8.38,0.84,0.11,0.05,0.71,0.11,0.18,7,1,7,6,10,1,11,5,5,Brad Pickett,Brad Pickett,1,1978, United Kingdom,167,135,172,3.02,0.31,4.63,0.55,2.47,0.44,0.58,0.4,0.22,11.28,0.74,0.11,0.15,0.69,0.15,0.16,8,5,6,3,14,0,24,11,7,5,0
21/02/2016, USA,2,6,5,3,Derek Brunson,Derek Brunson,2,1984, USA,185,185,195,3.77,0.47,2.95,0.54,3.02,0.31,1,0.4,0.77,6.32,0.6,0.2,0.2,0.73,0.09,0.18,1,1,3,8,10,0,14,3,6,Roan Carneiro,Roan Carneiro,1,1978, Brazil,180,170,193,1.46,0.46,1.82,0.62,3.05,0.42,0.83,1.4,0,9.45,0.46,0.19,0.35,0.74,0.14,0.13,2,5,7,1,7,0,20,9,12,1,1
6/02/2016, USA,0,-12,5,3,Mike Pyle,Mike Pyle,1,1975, USA,182,170,187,2.74,0.45,2.84,0.6,1.8,0.35,0.7,1.5,0.39,7.25,0.58,0.2,0.22,0.67,0.17,0.16,6,8,1,8,20,0,26,11,9,Sean Spencer,Sean Spencer,1,1987, USA,177,170,187,4.24,0.32,4.02,0.6,0.14,0.33,0.68,0,0.42,13.26,0.86,0.11,0.04,0.76,0.17,0.07,6,3,5,3,6,0,12,4,13,1,1
12/12/2015, USA,18,2,5,3,Yancy Medeiros,Yancy Medeiros,1,1987, USA,177,155,190,4.05,0.35,5.38,0.46,0.12,0.25,0.76,0.5,1.25,7.41,0.85,0.08,0.07,0.65,0.23,0.12,8,2,2,7,8,2,11,3,6,John Makdessi,John Makdessi,1,1985, Ca0da,172,155,172,5.36,0.51,3.76,0.7,0,0,0.88,0,0.49,11.25,0.93,0.05,0.03,0.53,0.24,0.23,8,1,6,1,10,0,13,4,7,4,1
12/12/2015, USA,10,2,5,5,Conor McGregor,Conor McGregor,2,1988, Ireland,175,145,187,5.43,0.49,4.4,0.55,0.75,0.62,0.7,0,1.95,8.2,0.77,0.11,0.13,0.71,0.17,0.13,1,1,1,1,6,4,18,2,5,Jose Aldo,Jose Aldo,1,1986, Brazil,170,145,177,3.48,0.44,3.55,0.62,0.6,0.61,0.9,0.1,0.44,13.14,0.84,0.04,0.13,0.7,0.15,0.15,3,3,1,3,15,1,25,1,14,1,1
12/12/2015, USA,0,-11,5,3,Demian Maia,Demian Maia,2,1977, Brazil,185,170,182,1.82,0.43,2.03,0.63,2.55,0.26,0.61,1,0.04,12.39,0.49,0.12,0.39,0.79,0.15,0.05,2,3,3,6,21,2,21,6,4,Gun0r Nelson,Gun0r Nelson,3,1988, Iceland,180,170,182,1.71,0.57,3.33,0.49,1.72,0.55,0.66,0.9,0.11,10.02,0.61,0.09,0.3,0.75,0.15,0.09,2,5,2,2,6,2,14,1,5,3,1
12/12/2015, USA,-5,-12,5,3,Leo0rdo Santos,Leo0rdo Santos,1,1980, Brazil,182,155,190,2.76,0.44,2.71,0.6,1.09,0.27,0.88,0.4,0.23,10.56,0.75,0.04,0.21,0.6,0.21,0.2,2,3,6,2,4,0,14,4,9,Kevin Lee,Kevin Lee,1,1992, USA,177,157,195,3.9,0.42,3.23,0.51,3.21,0.43,0.75,0.8,0.07,11.5,0.56,0.09,0.34,0.78,0.2,0.02,2,3,3,4,5,0,11,1,5,1,1
14/11/2015, Australia,3,-7,5,3,Kyle Noke,Kyle Noke,2,1980, Australia,187,170,193,3.23,0.5,2.09,0.64,1.53,0.54,0.66,0.8,0.42,9.02,0.7,0.06,0.24,0.48,0.2,0.32,4,6,1,6,9,0,21,7,6,Peter Sobotta,Peter Sobotta,2,1987, Poland,182,170,190,2.14,0.4,2.9,0.58,1.53,0.32,0.77,0.5,0.59,11.23,0.78,0.06,0.16,0.61,0.17,0.22,2,3,6,6,5,0,15,4,5,1,1
7/11/2015, Brazil,13,1,5,3,Alex Oliveira,Alex Oliveira,1,1988, Brazil,180,170,193,2.89,0.5,2.16,0.48,2.47,0.37,0.61,0.6,0.55,9.09,0.48,0.29,0.23,0.62,0.24,0.14,3,2,7,0,3,0,12,2,5,Piotr Hallmann,Piotr Hallmann,1,1987, Poland,175,155,180,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,0,11.46,0.61,0.25,0.14,0.53,0.31,0.16,8,5,2,6,5,2,18,5,5,1,1
7/11/2015, Brazil,10,9,5,3,Corey Anderson,Corey Anderson,1,1989, USA,190,205,200,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0,0.09,10.51,0.59,0.16,0.25,0.78,0.15,0.08,3,8,3,1,4,1,7,1,2,Fabio Maldo0do,Fabio Maldo0do,1,1980, Brazil,185,205,190,5.29,0.58,4.31,0.53,0.44,0.57,0.61,0.6,0.11,12.19,0.67,0.26,0.07,0.64,0.36,0.01,6,1,8,3,10,1,23,10,7,3,1
7/11/2015, Brazil,3,0,5,3,Gleison Tibau,Gleison Tibau,2,1983, Brazil,177,155,180,1.95,0.31,2.51,0.63,4.08,0.53,0.92,0.8,0.1,11.02,0.64,0.16,0.2,0.78,0.15,0.07,7,4,4,3,25,1,33,11,9,Abel Trujillo,Abel Trujillo,1,1983, USA,172,155,177,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,0.44,9.23,0.53,0.23,0.24,0.71,0.22,0.07,7,1,1,5,6,1,12,6,11,5,0
24/10/2015, Ireland,-5,-1,5,3,Scott Askham,Scott Askham,2,1988, United Kingdom,190,185,190,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,0.89,11.16,0.72,0.23,0.05,0.48,0.29,0.23,1,6,0,0,2,0,13,1,4,Krzysztof Jotko,Krzysztof Jotko,2,1989, Poland,185,185,195,2.98,0.45,1.9,0.58,1.27,0.35,0.87,0.1,0.18,12.45,0.46,0.33,0.21,0.66,0.22,0.12,3,7,3,0,3,0,15,1,12,5,0
3/10/2015, USA,-3,4,5,3,Ryan Bader,Ryan Bader,1,1983, USA,187,205,187,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,0.51,10.14,0.48,0.1,0.42,0.73,0.12,0.14,4,3,3,3,16,0,20,4,9,Rashad Evans,Rashad Evans,1,1979, USA,182,205,190,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0,0.21,12.33,0.58,0.19,0.23,0.79,0.14,0.07,1,4,6,6,21,0,19,3,23,3,1
23/08/2015, Ca0da,5,7,5,3,Nikita Krylov,Nikita Krylov,1,1992, Ukraine,190,205,195,4.54,0.59,2.45,0.41,1.4,0.38,0.52,1.6,0.63,5.55,0.48,0.35,0.17,0.61,0.24,0.15,2,1,7,1,5,0,22,4,7,Marcos Rogerio de Lima,Marcos Rogerio de Lima,1,1985, Brazil,185,253,190,3.78,0.54,2.63,0.54,0.76,0.6,0.36,0.8,1.41,4.43,0.43,0.13,0.44,0.6,0.17,0.23,1,1,6,0,3,0,13,3,8,2,1
8/08/2015, USA,8,8,5,3,Amanda Nunes,Amanda Nunes,1,1988, Brazil,172,135,175,4.44,0.51,2.47,0.57,2.53,0.53,0.84,0.7,0.52,10.17,0.65,0.04,0.31,0.65,0.13,0.22,1,8,1,1,6,0,10,4,5,Sara McMann,Sara McMann,1,1980, USA,167,136,167,2.39,0.46,1.86,0.47,4.51,0.63,0.66,0.6,0.16,8.39,0.33,0.2,0.47,0.66,0.25,0.09,6,4,8,1,8,0,8,2,7,2,1
1/08/2015, Brazil,21,10,5,3,Neil Magny,Neil Magny,1,1987, USA,190,170,203,3.96,0.48,2.15,0.56,2.63,0.45,0.59,0.3,0.11,12.02,0.55,0.19,0.26,0.71,0.18,0.12,1,2,1,3,10,2,15,4,3,Demian Maia,Demian Maia,2,1977, Brazil,185,170,182,1.82,0.43,2.03,0.63,2.55,0.26,0.61,1,0.04,12.39,0.49,0.12,0.39,0.79,0.15,0.05,3,3,6,5,20,1,20,6,5,7,0
25/07/2015, USA,3,6,5,3,Joe Lauzon,Joe Lauzon,1,1984, USA,177,155,180,2.84,0.39,5.39,0.54,2.39,0.45,0.54,2,0.21,8.08,0.55,0.17,0.28,0.88,0.09,0.02,8,1,3,6,18,1,24,11,6,Takanori Gomi,Takanori Gomi,2,1978, Japan,172,155,177,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8,0.34,6.52,0.88,0.09,0.03,0.63,0.3,0.08,8,3,5,4,25,1,35,10,10,1,1
18/07/2015, United Kingdom,2,-3,5,3,Evan Dunham,Evan Dunham,2,1981, USA,177,155,177,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1,0.13,10.58,0.83,0.12,0.05,0.85,0.11,0.04,3,8,7,6,14,0,15,5,6,Ross Pearson,Ross Pearson,1,1984, United Kingdom,172,155,175,3.68,0.4,4.09,0.62,0.74,0.35,0.75,0,0.3,11.39,0.82,0.15,0.02,0.53,0.28,0.19,1,8,1,5,15,1,17,8,4,3,1
27/06/2015, USA,7,7,5,3,Antonio Carlos Junior,Antonio Carlos Junior,1,1990, Brazil,187,185,200,1.91,0.44,1.98,0.53,3.7,0.44,0.53,0.9,0,6.51,0.65,0.26,0.09,0.52,0.26,0.22,6,3,0,0,2,0,5,0,6,Eddie Gordon,Eddie Gordon,1,1983,72,182,185,193,2.03,0.32,2.57,0.6,1.93,0.83,0.63,0,0.39,9.44,0.68,0.04,0.28,0.96,0.03,0.01,5,8,1,0,3,0,8,3,2,2,1
30/05/2015, Brazil,15,5,5,3,Charles Oliveira,Charles Oliveira,1,1989, Brazil,177,145,187,3.27,0.51,3.08,0.54,2.61,0.42,0.57,2.8,0.28,6.42,0.58,0.23,0.19,0.55,0.28,0.17,3,2,2,6,12,3,19,4,5,Nik Lentz,Nik Lentz,1,1984, USA,172,145,172,3.46,0.48,3.14,0.49,3.41,0.33,0.45,1.2,0.11,12.35,0.58,0.2,0.22,0.61,0.24,0.15,3,6,3,3,14,0,25,6,12,2,1
16/05/2015, Philippines,5,1,5,3,Jon Tuck,Jon Tuck,1,1984, USA,180,155,185,3,0.4,3.74,0.6,0.42,0.33,0.5,1,0.28,11.59,0.8,0.09,0.11,0.56,0.25,0.19,6,1,6,3,4,0,8,2,8,Tae Hyun Bang,Tae Hyun Bang,3,1983, South Korea,175,155,180,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,0.74,12.11,0.83,0.06,0.11,0.85,0.1,0.05,1,6,0,0,2,1,17,8,11,2,1
18/04/2015, USA,8,6,5,5,Luke Rockhold,Luke Rockhold,2,1984, USA,190,205,195,4.18,0.48,2.43,0.56,0.67,0.3,0.68,1.1,0.47,7.02,0.53,0.06,0.41,0.62,0.21,0.16,2,2,1,8,13,1,13,2,5,Lyoto Machida,Lyoto Machida,2,1978, Brazil,185,185,187,2.59,0.53,1.57,0.61,1.21,0.65,0.75,0.4,0.73,11.54,0.71,0.12,0.16,0.5,0.27,0.22,1,6,3,1,27,3,22,5,4,2,1
4/04/2015, USA,13,-3,5,5,Ricardo Lamas,Ricardo Lamas,1,1982, USA,172,145,180,3.13,0.47,2.87,0.57,1.84,0.33,0.46,0.9,0.21,10.21,0.63,0.2,0.16,0.49,0.21,0.3,2,3,6,1,13,0,15,3,5,Chad Mendes,Chad Mendes,1,1985, USA,167,145,167,2.78,0.49,2.35,0.67,4.13,0.55,1,0.3,0.73,9.05,0.63,0.07,0.3,0.69,0.09,0.22,6,3,1,1,13,1,16,2,6,8,0
